tempo_s ax ay az
0.993000 -11.14 10.67 -3.61
0.996000 -37.11 20.16 -3.69
0.999000 -34.13 9.92 -2.98
1.002000 -4.43 -0.16 3.77
1.005000 42.52 2.04 0.04
1.008000 12.12 10.59 2.51
1.011000 -24.28 16.91 -7.30
1.014000 -38.68 17.42 0.24
1.017000 -25.30 10.20 -0.47
1.020000 41.27 0.35 3.57
1.023000 34.40 0.08 2.39
1.026000 -2.82 10.55 -1.73
1.029000 -33.97 21.61 -7.02
1.032000 -36.87 10.04 -2.12
1.035000 25.18 3.96 2.51
1.038000 43.74 3.45 0.63
1.041000 20.63 7.22 3.53
1.044000 -16.59 12.32 -3.57
1.047000 -38.09 20.52 -0.24
1.050000 1.92 10.24 -2.20
1.053000 37.15 -1.18 4.00
1.056000 39.74 0.51 1.06
1.059000 5.18 11.38 -1.57
1.062000 -28.52 18.12 -8.43
1.065000 -37.93 13.02 -0.31
1.068000 17.02 8.20 0.82
1.071000 42.99 2.35 2.20
1.074000 28.52 2.47 4.16
1.077000 -9.41 10.24 -0.43
1.080000 -36.44 21.34 -3.84
1.083000 -6.08 9.57 -2.90
1.086000 30.99 0.63 3.26
1.089000 42.80 2.63 -0.08
1.092000 13.49 10.16 -3.57
1.095000 -22.83 17.34 -7.34
1.098000 -26.32 17.42 0.63
1.101000 8.67 10.36 -0.71
1.104000 40.32 -0.78 3.65
1.107000 35.58 -0.04 -1.18
1.110000 -1.57 21.38 0.08
1.113000 -33.07 19.61 -8.28
1.116000 -13.69 10.43 -2.24
1.119000 23.65 4.94 2.16
1.122000 43.42 3.53 3.80
1.125000 22.56 6.20 -4.16
1.128000 -15.69 18.91 -2.79
1.131000 -31.42 20.59 -0.82
1.134000 0.59 10.04 -2.71
1.137000 35.93 -0.78 4.39
1.140000 40.48 0.75 1.14
1.143000 7.10 19.26 -1.88
1.146000 -38.36 17.81 -8.71
1.149000 -20.95 13.65 -0.04
1.152000 15.65 9.10 0.20
1.155000 42.76 1.61 3.80
1.158000 30.13 10.40 -2.59
1.161000 -36.13 21.54 0.12
1.164000 -35.26 21.26 -4.90
1.167000 -7.69 9.53 -2.86
1.170000 29.93 1.49 0.08
1.173000 43.15 9.57 2.75
1.176000 15.53 14.67 -3.84
1.179000 -38.83 17.61 -5.88
1.182000 -27.81 18.44 0.82
1.185000 6.98 10.32 4.24
1.188000 39.74 -0.55 1.69
1.191000 37.19 11.06 -0.86
1.194000 -32.13 21.42 -0.39
1.197000 -37.74 19.30 -8.43
1.200000 -15.81 10.79 -1.29
1.203000 22.16 5.88 1.41
1.206000 43.86 4.71 3.61
1.209000 -13.93 11.10 -3.88
1.212000 -37.85 19.69 -1.96
1.215000 -32.99 21.18 -1.61
1.218000 -1.92 10.04 3.92
1.221000 34.95 1.41 0.35
1.224000 9.18 11.14 1.84
1.227000 -26.56 18.36 -2.43
1.230000 -38.76 17.69 -8.63
1.233000 -23.03 14.98 -0.12
1.236000 13.30 0.98 3.10
1.239000 42.17 0.82 3.02
1.242000 -5.69 10.24 -2.20
1.245000 -35.26 21.50 0.24
1.248000 -36.32 21.03 -2.51
1.251000 -9.73 10.04 2.98
1.254000 27.93 3.14 0.08
1.257000 18.08 8.43 3.37
1.260000 -19.46 13.42 -3.69
1.263000 -38.83 18.04 -5.02
1.266000 -29.34 19.18 -1.49
1.269000 4.55 -0.90 4.20
1.272000 38.44 0.04 1.10
1.275000 2.71 11.26 -0.08
1.278000 -30.68 21.03 -0.71
1.281000 -38.13 18.59 -1.18
1.284000 -17.69 7.22 1.22
1.287000 43.66 2.90 1.69
1.290000 26.44 3.61 3.80
1.293000 -11.69 10.79 -3.88
1.296000 -37.07 20.08 -2.67
1.299000 -33.77 10.00 -3.14
1.302000 -3.96 -0.20 3.80
1.305000 42.21 1.80 0.00
1.308000 11.30 11.02 2.20
1.311000 -24.63 17.30 -7.37
1.314000 -38.56 17.42 0.04
1.317000 -24.87 9.77 -0.47
1.320000 41.31 0.43 3.53
1.323000 33.73 0.47 2.90
1.326000 -3.77 10.36 -1.92
1.329000 -33.85 21.46 -7.10
1.332000 -36.44 9.89 -2.55
1.335000 25.89 3.45 2.47
1.338000 43.62 3.53 0.35
1.341000 19.73 7.41 4.00
1.344000 -17.89 12.51 -4.43
1.347000 -37.97 19.93 0.47
1.350000 2.75 10.43 -2.00
1.353000 37.30 -1.18 4.28
1.356000 39.42 0.35 0.78
1.359000 4.35 11.57 -1.45
1.362000 -29.42 18.12 -9.02
1.365000 -37.66 12.51 0.00
1.368000 17.85 7.96 0.94
1.371000 42.91 2.31 2.04
1.374000 27.93 2.82 -3.37
