tempo_s ax ay az
1.179000 34.05 2.55 4.63
1.182000 42.52 1.53 4.59
1.185000 11.02 9.30 -4.20
1.188000 -26.01 16.55 -8.67
1.191000 -26.16 15.65 -4.12
1.194000 10.08 9.65 1.10
1.197000 41.62 2.63 6.12
1.200000 34.87 2.98 -0.47
1.203000 -2.90 19.06 -4.75
1.206000 -38.60 17.81 -7.49
1.209000 -14.87 11.34 -3.06
1.212000 23.73 5.26 3.10
1.215000 44.44 2.55 3.84
1.218000 23.58 11.81 -2.71
1.221000 -39.50 18.36 -6.24
1.224000 -34.17 18.87 -5.22
1.227000 -2.55 10.63 -0.71
1.230000 34.56 2.47 4.31
1.233000 42.40 9.26 2.16
1.236000 -26.52 15.73 -4.31
1.239000 -40.29 16.55 -8.12
1.242000 -25.46 15.26 -3.96
1.245000 11.06 9.26 5.81
1.248000 42.01 2.75 4.67
1.251000 -3.69 10.32 -0.78
1.254000 -35.07 19.10 -4.79
1.257000 -38.72 18.08 -7.22
1.260000 -14.20 11.38 2.51
1.263000 24.20 1.92 5.41
1.266000 22.67 6.59 3.61
1.269000 -16.24 11.92 -2.86
1.272000 -39.54 18.32 -6.39
1.275000 -33.70 18.87 -0.39
1.278000 -1.69 2.39 5.30
1.281000 42.09 1.45 4.67
1.284000 9.26 9.34 1.22
1.287000 -26.95 16.00 -4.55
1.290000 -40.25 16.71 -4.90
1.293000 -24.95 9.45 1.29
1.296000 11.73 2.75 5.96
1.299000 33.89 3.02 4.59
1.302000 -4.43 10.32 -1.02
1.305000 -35.38 19.14 -7.14
1.308000 -38.01 11.18 -2.86
1.311000 -13.45 4.71 2.75
1.314000 44.56 2.12 4.90
1.317000 21.85 6.86 3.57
1.320000 -16.87 12.12 -6.24
1.323000 -39.62 18.83 -4.71
1.326000 -33.22 10.59 -0.27
1.329000 35.62 2.31 4.90
1.332000 41.38 1.57 4.82
1.335000 8.32 9.49 -4.08
1.338000 -27.62 16.51 -8.16
1.341000 -40.13 14.67 -4.67
1.344000 12.47 8.90 1.41
1.347000 42.21 2.67 5.96
1.350000 32.99 3.45 -0.71
1.353000 -5.26 19.30 -5.02
1.356000 -35.97 18.40 -7.77
1.359000 -12.55 10.90 -2.67
1.362000 25.73 4.43 2.94
1.365000 44.37 2.47 3.33
1.368000 20.79 7.22 -3.10
1.371000 -17.73 17.73 -6.90
1.374000 -32.48 18.51 -4.75
1.377000 0.04 10.63 -0.24
1.380000 36.44 2.86 4.67
1.383000 41.19 1.49 0.98
1.386000 7.02 16.55 -4.82
1.389000 -39.78 16.55 -8.12
1.392000 -23.14 14.16 -4.00
1.395000 13.77 8.90 5.88
1.398000 43.03 2.67 4.59
1.401000 31.89 10.43 -1.37
1.404000 -36.21 19.34 -5.14
1.407000 -37.62 18.48 -6.79
1.410000 -11.57 10.75 3.10
1.413000 26.60 4.31 4.59
1.416000 44.33 7.53 3.14
1.419000 -18.87 12.79 -3.18
1.422000 -39.70 17.65 -6.71
1.425000 -31.46 18.16 -0.24
1.428000 0.90 10.83 5.57
1.431000 36.91 1.57 4.90
1.434000 6.04 9.65 0.98
1.437000 -29.15 16.91 -4.51
1.440000 -39.70 16.36 -3.69
1.443000 -22.28 13.89 1.65
1.446000 14.59 2.75 6.08
1.449000 31.22 3.73 4.59
1.452000 -7.41 10.59 -1.45
1.455000 -36.68 19.38 -5.41
1.458000 -37.30 18.55 -2.82
1.461000 -10.43 3.61 2.98
1.464000 44.40 2.04 4.75
1.467000 18.91 7.49 3.10
1.470000 -19.61 13.10 -3.61
1.473000 -39.89 17.46 -4.43
1.476000 -31.34 10.71 -0.35
1.479000 37.54 2.35 5.33
1.482000 40.17 1.57 4.75
1.485000 5.14 9.96 0.98
1.488000 -29.85 17.10 -8.16
1.491000 -40.13 13.85 -3.73
1.494000 15.57 8.00 1.69
1.497000 43.19 2.67 5.92
1.500000 30.79 4.04 4.75
1.503000 -8.12 10.59 -5.22
1.506000 -37.30 18.71 -6.35
1.509000 -10.04 10.79 -2.24
1.512000 28.44 3.77 3.49
1.515000 44.25 1.96 4.67
1.518000 18.28 7.77 -2.90
1.521000 -20.40 17.38 -7.26
1.524000 -31.15 17.97 -4.63
1.527000 2.71 10.43 0.24
1.530000 38.25 2.35 5.41
1.533000 39.58 1.57 0.67
1.536000 4.24 17.42 -4.59
1.539000 -39.97 16.79 -7.85
1.542000 -21.06 13.22 -3.77
1.545000 16.55 7.88 1.77
1.548000 43.70 2.75 4.55
1.551000 30.13 10.63 -1.65
1.554000 -37.58 19.26 -5.33
1.557000 -37.07 18.83 -6.59
1.560000 -9.34 10.83 -2.28
1.563000 29.26 3.41 5.49
1.566000 44.25 8.04 2.67
1.569000 -21.03 13.38 -3.69
1.572000 -40.01 17.22 -7.30
1.575000 -30.52 17.65 -4.51
1.578000 3.92 10.51 5.41
1.581000 38.44 1.57 4.82
1.584000 3.49 9.73 0.43
1.587000 -30.95 17.77 -4.71
1.590000 -39.74 16.91 -8.20
1.593000 -20.36 13.14 2.00
1.596000 17.38 2.63 6.63
1.599000 29.15 4.51 4.67
1.602000 -9.73 10.87 -1.65
1.605000 -37.58 18.99 -5.33
1.608000 -36.60 18.95 -1.88
1.611000 -8.47 3.37 3.61
1.614000 44.01 1.57 4.47
1.617000 16.32 8.32 2.39
1.620000 -21.65 13.53 -3.69
1.623000 -40.21 17.02 -4.39
1.626000 -29.97 10.47 0.20
1.629000 38.95 2.51 5.73
1.632000 38.56 1.77 4.75
1.635000 2.67 9.81 0.12
1.638000 -31.73 17.61 -8.04
1.641000 -39.46 12.59 -3.57
1.644000 18.16 7.22 1.96
1.647000 43.78 2.67 5.45
1.650000 28.32 4.31 4.24
1.653000 -10.55 10.79 -5.49
