tempo_s ax ay az
1.434000 -7.49 16.24 -4.63
1.437000 -39.85 16.71 -4.43
1.440000 -13.30 12.51 -1.41
1.443000 29.81 3.69 2.75
1.446000 47.90 1.77 1.22
1.449000 21.26 15.30 -1.73
1.452000 -42.95 16.95 -4.31
1.455000 -33.58 14.59 -4.28
1.458000 0.39 9.34 -0.47
1.461000 37.66 4.63 3.18
1.464000 43.23 7.77 -1.80
1.467000 -29.66 16.00 -3.26
1.470000 -43.38 18.48 -3.37
1.473000 -25.22 14.83 -2.24
1.476000 15.61 6.71 3.61
1.479000 44.99 5.92 3.33
1.482000 -6.16 11.61 -1.37
1.485000 -37.70 16.12 -4.43
1.488000 -41.03 16.83 -4.20
1.491000 -14.55 12.79 2.31
1.494000 28.56 1.26 2.63
1.497000 23.65 7.49 1.77
1.500000 -20.48 15.65 -1.29
1.503000 -44.01 17.69 -4.12
1.506000 -34.36 15.42 -1.41
1.509000 0.00 4.28 4.16
1.512000 43.74 2.86 3.41
1.515000 8.90 8.00 -1.06
1.518000 -29.77 16.28 -3.18
1.521000 -45.07 19.10 -2.86
1.524000 -26.16 6.16 -0.43
1.527000 45.90 2.86 3.65
1.530000 35.54 5.45 3.30
1.533000 -5.96 11.26 -1.45
1.536000 -37.70 16.16 -4.31
1.539000 -41.66 12.83 -1.26
1.542000 27.46 5.61 3.10
1.545000 48.17 1.53 3.18
1.548000 23.77 6.12 1.29
1.551000 -19.02 15.34 -4.43
1.554000 -42.60 15.22 -3.84
1.557000 -1.29 9.85 -1.02
1.560000 37.78 4.67 3.88
1.563000 44.88 2.67 -0.55
1.566000 9.18 8.04 -2.75
1.569000 -29.11 17.69 -3.37
1.572000 -25.93 14.44 -2.79
1.575000 13.89 5.88 0.31
1.578000 46.37 4.00 4.04
1.581000 35.81 5.57 -1.77
1.584000 -4.82 16.00 -4.28
1.587000 -41.11 17.14 -4.28
1.590000 -15.61 13.14 -1.41
1.593000 27.14 5.10 3.65
1.596000 48.88 0.55 2.35
1.599000 23.85 14.51 -1.92
1.602000 -43.15 16.75 -4.43
1.605000 -34.32 14.98 -4.79
1.608000 -1.96 9.57 4.35
1.611000 37.27 4.79 3.37
1.614000 44.48 8.00 -1.33
1.617000 -28.64 16.28 -2.79
1.620000 -44.95 18.67 -3.49
1.623000 -26.44 15.10 -0.82
1.626000 12.12 2.79 3.92
1.629000 45.23 5.69 4.24
1.632000 -3.65 10.83 -1.37
1.635000 -37.11 16.40 -4.47
1.638000 -41.70 17.50 -1.53
1.641000 -16.08 4.39 1.41
1.644000 25.93 1.02 2.98
1.647000 25.89 6.47 2.00
1.650000 -17.42 15.46 -1.02
1.653000 -42.44 17.65 -4.67
1.656000 -35.26 11.02 -2.24
1.659000 -2.51 4.00 4.04
1.662000 45.07 2.75 4.12
1.665000 11.57 8.08 -0.27
1.668000 -28.60 16.67 -4.04
1.671000 -43.66 14.87 -3.57
1.674000 -27.07 5.96 -0.27
1.677000 44.05 2.90 4.35
1.680000 36.05 5.65 3.77
1.683000 -2.24 10.32 -4.90
1.686000 -37.19 17.34 -4.00
1.689000 -17.02 14.12 -1.33
1.692000 25.11 5.61 2.51
1.695000 48.56 2.12 3.26
1.698000 26.05 6.90 -1.26
1.701000 -15.89 17.22 -4.24
1.704000 -35.85 15.81 -4.00
1.707000 -3.30 9.69 -0.55
1.710000 35.30 4.67 4.43
1.713000 45.39 2.24 -0.78
1.716000 12.04 16.00 -2.94
1.719000 -45.66 17.81 -4.20
1.722000 -27.30 15.26 -2.75
1.725000 10.51 5.81 -1.10
1.728000 45.07 3.45 4.08
1.731000 37.30 10.12 -1.33
1.734000 -36.52 16.79 -4.39
1.737000 -41.97 17.10 -4.55
1.740000 -17.26 13.22 -1.65
1.743000 24.87 4.90 4.39
1.746000 48.25 7.22 2.67
1.749000 -16.75 14.28 -1.69
1.752000 -42.25 16.40 -4.67
1.755000 -35.81 15.14 -4.75
1.758000 -3.80 10.28 4.16
1.761000 35.54 2.86 3.10
1.764000 12.87 7.10 -1.88
1.767000 -27.38 16.20 -2.67
1.770000 -44.64 17.81 -3.84
1.773000 -27.42 13.96 0.16
1.776000 10.51 3.49 3.53
1.779000 37.97 4.55 3.10
1.782000 -1.53 10.24 -1.65
1.785000 -35.07 15.61 -4.24
1.788000 -42.60 17.30 -1.10
1.791000 -17.89 5.18 1.49
1.794000 48.92 1.61 2.39
1.797000 27.26 6.32 2.08
1.800000 -14.98 14.00 -0.86
1.803000 -42.33 16.71 -4.35
1.806000 -36.76 9.92 -1.53
1.809000 36.05 4.16 3.61
1.812000 46.21 2.24 3.73
1.815000 14.32 6.94 0.35
1.818000 -27.42 16.51 -3.18
1.821000 -44.17 14.28 -3.88
1.824000 10.20 7.30 -0.27
1.827000 43.62 3.41 4.16
1.830000 38.52 4.82 4.31
1.833000 -1.61 10.12 -4.35
1.836000 -34.75 17.81 -3.73
1.839000 -18.01 13.61 -1.37
1.842000 23.97 5.41 1.65
1.845000 47.86 1.65 2.86
1.848000 27.34 6.59 -1.22
1.851000 -14.67 16.71 -4.28
1.854000 -37.19 15.42 -4.04
1.857000 -5.18 10.63 -0.94
1.860000 34.91 4.59 2.94
1.863000 46.72 2.04 -0.20
1.866000 14.75 16.44 -2.47
1.869000 -44.56 18.63 -3.57
1.872000 -29.15 15.02 -3.65
1.875000 9.61 7.41 -0.47
1.878000 43.74 3.14 4.08
1.881000 38.91 10.04 -1.37
1.884000 -35.19 15.97 -4.39
1.887000 -42.68 17.50 -4.20
1.890000 -18.48 14.16 -1.53
1.893000 22.95 5.41 3.61
1.896000 46.88 6.43 2.31
1.899000 -14.87 13.93 -1.49
1.902000 -41.19 16.24 -4.82
1.905000 -36.91 16.16 -4.47
1.908000 -6.32 11.69 3.06
1.911000 34.52 2.31 3.22
1.914000 16.20 7.45 -0.24
1.917000 -26.20 16.32 -2.12
1.920000 -44.33 18.36 -4.20
1.923000 -29.38 13.85 0.08
1.926000 9.18 3.80 3.92
1.929000 39.85 4.71 3.61
1.932000 0.47 9.57 -1.69
1.935000 -33.85 16.00 -3.88
1.938000 -43.46 17.77 -2.16
1.941000 -19.77 5.53 1.22
1.944000 47.74 1.92 3.10
1.947000 29.18 6.79 2.82
1.950000 -14.12 13.57 -4.82
1.953000 -40.95 16.67 -4.43
1.956000 -36.95 12.00 -1.49
1.959000 33.46 5.41 3.84
1.962000 45.39 2.55 2.75
1.965000 16.24 7.30 -2.51
1.968000 -24.79 16.24 -4.39
1.971000 -44.99 14.91 -2.86
